Leaf Size,In Sample RMSE,Out of Sample RMSE
716,0.011770075,0.008258633
717,0.011770075,0.008258633
718,0.011770075,0.008258633
719,0.011770075,0.008258633
720,0.011770075,0.008258633
721,0.011770075,0.008258633
722,0.011770075,0.008258633
723,0.011770075,0.008258633
724,0.011770075,0.008258633
725,0.011770075,0.008258633
726,0.011770075,0.008258633
727,0.011770075,0.008258633
728,0.011770075,0.008258633
729,0.011770075,0.008258633
730,0.011770075,0.008258633
731,0.011770075,0.008258633
732,0.011770075,0.008258633
733,0.011770075,0.008258633
734,0.011770075,0.008258633
735,0.011770075,0.008258633
736,0.011770075,0.008258633
737,0.011770075,0.008258633
738,0.011770075,0.008258633
739,0.011770075,0.008258633
740,0.011770075,0.008258633
741,0.011770075,0.008258633
742,0.011770075,0.008258633
743,0.011770075,0.008258633
744,0.011770075,0.008258633
745,0.011770075,0.008258633
746,0.011770075,0.008258633
747,0.011770075,0.008258633
748,0.011770075,0.008258633
749,0.011770075,0.008258633
750,0.011770075,0.008258633
751,0.011770075,0.008258633
752,0.011770075,0.008258633
753,0.011770075,0.008258633
754,0.011770075,0.008258633
755,0.011770075,0.008258633
756,0.011770075,0.008258633
757,0.011770075,0.008258633
758,0.011770075,0.008258633
759,0.011770075,0.008258633
760,0.011770075,0.008258633
761,0.011770075,0.008258633
762,0.011770075,0.008258633
763,0.011770075,0.008258633
764,0.011770075,0.008258633
765,0.011770075,0.008258633
766,0.011770075,0.008258633
767,0.011770075,0.008258633
768,0.011770075,0.008258633
769,0.011770075,0.008258633
770,0.011770075,0.008258633
771,0.011770075,0.008258633
772,0.011770075,0.008258633
773,0.011770075,0.008258633
774,0.011770075,0.008258633
775,0.011770075,0.008258633
776,0.011770075,0.008258633
777,0.011770075,0.008258633
778,0.011770075,0.008258633
779,0.011770075,0.008258633
780,0.011770075,0.008258633
781,0.011770075,0.008258633
782,0.011770075,0.008258633
783,0.011770075,0.008258633
784,0.011770075,0.008258633
785,0.011770075,0.008258633
786,0.011770075,0.008258633
787,0.011770075,0.008258633
788,0.011770075,0.008258633
789,0.011770075,0.008258633
790,0.011770075,0.008258633
791,0.011770075,0.008258633
792,0.011770075,0.008258633
793,0.011770075,0.008258633
794,0.011770075,0.008258633
795,0.011770075,0.008258633
796,0.011770075,0.008258633
797,0.011770075,0.008258633
798,0.011770075,0.008258633
799,0.011770075,0.008258633
800,0.011770075,0.008258633
801,0.011770075,0.008258633
802,0.011770075,0.008258633
803,0.011770075,0.008258633
804,0.011770075,0.008258633
805,0.011770075,0.008258633
806,0.011770075,0.008258633
807,0.011770075,0.008258633
808,0.011770075,0.008258633
809,0.011770075,0.008258633
810,0.011770075,0.008258633
811,0.011770075,0.008258633
812,0.011770075,0.008258633
813,0.011770075,0.008258633
814,0.011770075,0.008258633
815,0.011770075,0.008258633
816,0.011770075,0.008258633
817,0.011770075,0.008258633
818,0.011770075,0.008258633
819,0.011770075,0.008258633
820,0.011770075,0.008258633
821,0.011770075,0.008258633
822,0.011770075,0.008258633
